region	MM	PDR
chr1-11107082-11108280	0.877874	0.494975
chr1-11119883-11121081	0.0065427	0.0738462
chr1-11159740-11160938	0.297242	0.421951
chr1-11248398-11249596	0.921088	0.176471
chr1-11322366-11323564	0.149383	0.242978
chr1-11332263-11333461	0.261991	0.329247
chr1-11538295-11539493	0.0394563	0.191406
chr1-11713914-11715112	0.131086	0.341719
chr1-11714541-11715739	0.0620802	0.219178
chr1-11723181-11724379	0.398492	0.423459
chr1-11750786-11751984	0.0234703	0.229592
chr1-11751509-11752707	0.0746177	0.449675
chr1-11795212-11796410	0.310345	0.235443
chr1-11863104-11864302	0.139346	0.215909
chr1-11865268-11866466	0.00832622	0.0823373
chr1-11907642-11908840	0.706187	0.61039
chr1-11918790-11919988	0.213225	0.57072
chr1-11986282-11987480	0.26768	0.354597
chr1-11993810-11995008	0.169792	0.182764
chr1-12039369-12040567	0.118962	0.239161
chr1-12078523-12079721	0.239315	0.239216
chr1-12122434-12123632	0.0419459	0.222615
chr1-12226060-12227258	0.252635	0.342574
chr1-12289124-12290322	0.215501	0.463366
chr1-12677539-12678737	0.0357879	0.0979284
chr1-12703566-12704764	0.792167	0.370629
chr1-12775146-12776344	0.738376	0.784314
chr1-12850546-12851744	0.664784	0.697917
chr1-12908380-12909578	0.795817	0.319444
chr1-12915941-12917139	0.76346	0.439394
chr1-12945827-12947025	0.560366	0.833333
chr1-12957903-12959101	0.677223	0.6875
chr1-13007222-13008420	0.530348	0.828125
chr1-13715092-13716290	0.951807	0.222222
chr1-13840345-13841543	0.162518	0.341176
chr1-13908960-13910158	0.367177	0.687345
chr1-14030350-14031548	0.823654	0.608696
chr1-14924200-14925398	0.0880374	0.292419
chr1-15478028-15479226	0.161972	0.122353
chr1-15735391-15736589	0.125629	0.391389
chr1-15763935-15765133	0.856927	0.459276
chr1-15782224-15783422	0.829626	0.389744
chr1-15801596-15802794	0.846968	0.233645
chr1-15850592-15851790	0.00525909	0.0665188
chr1-15852308-15853506	0.0252928	0.114123
chr1-15911407-15912605	0.3676	0.389034
chr1-15942995-15944193	0.0332375	0.0781671
chr1-15985364-15986562	0.927586	0.145161
chr1-16009827-16011025	0.087243	0.249344
chr1-16061900-16063098	0.663938	0.485437
chr1-16067917-16069115	0.376737	0.574324
chr1-16089994-16091192	0.713861	0.429245
chr1-16173359-16174557	0.0293384	0.213049
chr1-16302423-16303621	0.26251	0.172911
chr1-16345087-16346285	0.703042	0.689252
chr1-16347547-16348745	0.710526	0.653639
chr1-16369272-16370470	0.706651	0.77044
chr1-16399923-16401121	0.139594	0.295918
chr1-16482384-16483582	0.19282	0.399217
chr1-16538906-16540104	0.386473	0.46
chr1-16555840-16557038	0.802256	0.454545
chr1-16563459-16564657	0.119884	0.192802
chr1-16678751-16679949	0.0618766	0.214286
chr1-16763721-16764919	0.851432	0.528571
chr1-16766231-16767429	0.199806	0.279435
chr1-16939784-16940982	0.0708252	0.139916
chr1-17247445-17248643	0.58695	0.410383
chr1-17307132-17308330	0.368548	0.384615
chr1-17338069-17339267	0.0709695	0.172986
chr1-17380467-17381665	0.227407	0.279951
chr1-17445732-17446930	0.120728	0.352574
chr1-17530621-17531819	0.620657	0.761905
chr1-17574593-17575791	0.798147	0.512953
chr1-17633692-17634890	0.663938	0.615385
chr1-17766022-17767220	0.118063	0.259332
chr1-17865330-17866528	0.0761317	0.388655
chr1-18080808-18082006	0.731959	0.819876
chr1-18433240-18434438	0.077436	0.301115
chr1-18806424-18807622	0.307437	0.475728
chr1-18956500-18957698	0.123941	0.462025
chr1-19185978-19187176	0.820214	0.574074
chr1-19229077-19230275	0.0520352	0.140562
chr1-19282982-19284180	0.0837913	0.370079
chr1-19536572-19537770	0.00732873	0.0724852
chr1-19577033-19578231	0.0519075	0.0614525
chr1-19577848-19579046	0.00893114	0.0876543
chr1-19615546-19616744	0.265625	0.257669
chr1-19637822-19639020	0.018013	0.126543
chr1-19638442-19639640	0.0432768	0.230999
chr1-19811781-19812979	0.0349869	0.173333
chr1-19922473-19923671	0.0947244	0.107937
chr1-19922484-19923682	0.0947244	0.107937
chr1-19968726-19969924	0.753826	0.364486
chr1-19990780-19991978	0.10548	0.432337
chr1-20126212-20127410	0.123637	0.179276
chr1-20141573-20142771	0.576813	0.625
chr1-20208006-20209204	0.219062	0.321311
chr1-20249912-20251110	0.692741	0.735941
chr1-20306711-20307909	0.6103	0.769231
chr1-20395701-20396899	0.66055	0.47032
chr1-20445852-20447050	0.805002	0.376471
chr1-20464819-20466017	0.836893	0.457143
chr1-20511578-20512776	0.240393	0.407207
chr1-20616412-20617610	0.49827	0.660377
chr1-20812515-20813713	0.0269935	0.170557
chr1-20834456-20835654	0.212423	0.0852391
chr1-20914441-20915639	0.289012	0.294872
chr1-20958948-20960146	0.180136	0.371663
chr1-20987802-20989000	0.154083	0.238784
chr1-21044312-21045510	0.340483	0.584235
chr1-21058831-21060029	0.0195276	0.110604
chr1-21112983-21114181	0.00476231	0.0890756
chr1-21503145-21504343	0.150263	0.234375
chr1-21616784-21617982	0.197563	0.354938
chr1-21765631-21766829	0.146364	0.184348
chr1-21834865-21836063	0.197523	0.367174
chr1-21978150-21979348	0.140416	0.573276
chr1-22109901-22111099	0.260944	0.313376
chr1-22263592-22264790	0.169861	0.366883
chr1-22302514-22303712	0.893326	0.377289
chr1-22327149-22328347	0.868202	0.259091
chr1-22378161-22379359	0.414034	0.475432
chr1-22469261-22470459	0.0276397	0.264444
chr1-22777344-22778542	0.503286	0.263066
chr1-22889057-22890255	0.134576	0.562633
chr1-22961999-22963197	0.532923	0.73913
chr1-22969126-22970324	0.545113	0.738095
chr1-22978682-22979880	0.672316	0.705521
chr1-23036463-23037661	0.0183239	0.208232
chr1-23344986-23346184	0.0635561	0.152623
chr1-23504103-23505301	0.137631	0.173302
chr1-23521024-23522222	0.631823	0.666667
chr1-23670605-23671803	0.0245221	0.0819672
chr1-23695737-23696935	0.0607492	0.0909091
chr1-23751035-23752233	0.149118	0.193548
chr1-23810473-23811671	0.0735657	0.333981
chr1-23857514-23858712	0.0604027	0.116667
chr1-23886087-23887285	0.0980966	0.102273
chr1-23952824-23954022	0.68978	0.443709
chr1-24017269-24018467	0.356423	0.268482
chr1-24068645-24069843	0.130796	0.21365
chr1-24103895-24105093	0.200851	0.323529
chr1-24116460-24117658	0.389773	0.333333
chr1-24126694-24127892	0.0114516	0.097429
chr1-24151751-24152949	0.239276	0.246548
chr1-24194586-24195784	0.12043	0.310595
chr1-24285302-24286500	0	0
chr1-24285351-24286549	0	0
chr1-24306611-24307809	0.798337	0.450704
chr1-24438467-24439665	0.462734	0.589096
chr1-24469413-24470611	0.490034	0.465565
chr1-24513553-24514751	0.107975	0.292072
chr1-24644915-24646113	0.0956416	0.212465
chr1-24741284-24742482	0.264239	0.348918
chr1-24741389-24742587	0.2238	0.335329
chr1-24828387-24829585	0.0422188	0.179832
chr1-24881602-24882800	0.16531	0.296959
chr1-24968503-24969701	0.0218899	0.094176
chr1-25070848-25072046	0.205138	0.244767
chr1-25291303-25292501	0.704244	0.377049
chr1-25558786-25559984	0.0086107	0.0458453
chr1-25573812-25575010	0.0568988	0.134959
chr1-25597884-25599082	0.850485	0.44385
chr1-25663408-25664606	0.00399122	0.0399202
chr1-25747138-25748336	0.817406	0.5
chr1-25756411-25757609	0.00542538	0.079602
chr1-25869071-25870269	0.261389	0.336815
chr1-25942959-25944157	0.00698807	0.109149
chr1-26125667-26126865	0.0973855	0.158088
chr1-26145684-26146882	0.0124353	0.0922242
chr1-26185705-26186903	0.12463	0.262905
chr1-26232759-26233957	0.106354	0.325
chr1-26324450-26325648	0.203242	0.321569
chr1-26347271-26348469	0.565391	0.578571
chr1-26372426-26373624	0.082473	0.376254
chr1-26393926-26395124	0.657805	0.689189
chr1-26437328-26438526	0.00528001	0.0812772
chr1-26495362-26496560	0.118465	0.225806
chr1-26502894-26504092	0.644038	0.413084
chr1-26516052-26517250	0.635818	0.72381
chr1-26559693-26560891	0.203108	0.218274
chr1-26643448-26644646	0.583732	0.344828
chr1-26644656-26645854	0.559064	0.622739
chr1-26670378-26671576	0.85765	0.513353
chr1-26699068-26700266	0.792524	0.309735
chr1-26736269-26737467	0.0979484	0.411067
chr1-26757846-26759044	0.085161	0.270492
chr1-26798010-26799208	0.0213712	0.0733333
chr1-26871343-26872541	0.494331	0.33871
chr1-27021524-27022722	0.0074171	0.0889831
chr1-27113686-27114884	0.00371938	0.0382436
chr1-27152201-27153399	0.149	0.283742
chr1-27188633-27189831	0.552563	0.247253
chr1-27216590-27217788	0.164888	0.283113
chr1-27226759-27227957	0.172799	0.252988
chr1-27240259-27241457	0.769882	0.471154
chr1-27247217-27248415	0.0847903	0.162534
chr1-27286699-27287897	0.178397	0.323034
chr1-27319198-27320396	0.0649297	0.310719
chr1-27339129-27340327	0.191612	0.389456
chr1-27481203-27482401	0.10475	0.154728
chr1-27560159-27561357	0.119105	0.341719
chr1-27647651-27648849	0.211998	0.294521
chr1-27670364-27671562	0.597397	0.42576
chr1-27693185-27694383	0.125743	0.226306
chr1-27701117-27702315	0.895311	0.352941
chr1-27709595-27710793	0.434569	0.632017
chr1-27718148-27719346	0.0337262	0.188761
chr1-27816471-27817669	0.138921	0.262887
chr1-27929945-27931143	0.017524	0.14561
chr1-27961590-27962788	0.608269	0.536111
chr1-27998491-27999689	0.00559552	0.0316456
chr1-28051568-28052766	0.0846567	0.20303
chr1-28098694-28099892	0.0900488	0.260638
chr1-28156289-28157487	0.110301	0.217204
chr1-28198079-28199277	0.400162	0.428958
chr1-28241056-28242254	0.121742	0.40942
chr1-28260504-28261702	0.487669	0.332016
chr1-28284973-28286171	0.546134	0.422989
chr1-28415009-28416207	0.247649	0.314244
chr1-28503501-28504699	0.757143	0.534091
chr1-28559338-28560536	0.43971	0.399386
chr1-28561644-28562842	0.090037	0.212579
chr1-28585038-28586236	0.0302309	0.117534
chr1-28654549-28655747	0.279696	0.327083
chr1-28763682-28764880	0.25739	0.166667
chr1-28843769-28844967	0.0430516	0.15285
chr1-28878597-28879795	0.147262	0.220877
chr1-28917712-28918910	0.504231	0.245283
chr1-28969319-28970517	0.0080673	0.0530474
chr1-28994292-28995490	0.270838	0.2
chr1-29062271-29063469	0.141528	0.2118
chr1-29137654-29138852	0.198012	0.537349
chr1-29212603-29213801	0.253878	0.521664
chr1-29448815-29450013	0.0288762	0.197587
chr1-29508301-29509499	0.104338	0.235395
chr1-29557246-29558444	0.173542	0.0697674
chr1-29562028-29563226	0.0737332	0.349206
chr1-31196236-31197434	0.84189	0.466135
chr1-31230469-31231667	0.57663	0.617021
chr1-31381410-31382608	0.149533	0.416122
chr1-31538344-31539542	0.174101	0.199656
chr1-31712203-31713401	0.0764637	0.329876
chr1-31768855-31770053	0.0282103	0.111111
chr1-31769419-31770617	0.00561862	0.0345622
chr1-31845725-31846923	0.0886094	0.2471
chr1-32041136-32042334	0.219083	0.344538
chr1-32082301-32083499	0.287216	0.472222
chr1-32110290-32111488	0.075603	0.180028
chr1-32169722-32170920	0.0729325	0.228099
chr1-32229438-32230636	0.0520333	0.240618
chr1-32281454-32282652	0.595793	0.601942
chr1-32403790-32404988	0.219159	0.305761
chr1-32478430-32479628	0.104302	0.237792
chr1-32537503-32538701	0.014413	0.103004
chr1-32572639-32573837	0.243657	0.345146
chr1-32644666-32645864	0.0775446	0.206851
chr1-32664987-32666185	0.263555	0.0431034
chr1-32673695-32674893	0.764807	0.502242
chr1-32686971-32688169	0.0385852	0.121646
chr1-32687728-32688926	0.152206	0.166479
chr1-32715840-32717038	0.520443	0.480687
chr1-32756687-32757885	0.103421	0.252155
chr1-32801782-32802980	0.171264	0.544365
chr1-32826798-32827996	0.222734	0.409859
chr1-32929670-32930868	0.073958	0.240217
chr1-33004028-33005226	0.0747535	0.0945946
chr1-33115749-33116947	0.00476296	0.042204
chr1-33115987-33117185	0.00474117	0.0499391
chr1-33168522-33169720	0.216398	0.295195
chr1-33206486-33207684	0.135905	0.353222
chr1-33282156-33283354	0.00554178	0.0386473
chr1-33283556-33284754	0.048376	0.0970149
chr1-33336216-33337414	0.0673851	0.295739
chr1-33351036-33352234	0.147142	0.457203
chr1-33366761-33367959	0.146796	0.381933
chr1-33430088-33431286	0.050437	0.121951
chr1-33502395-33503593	0.255486	0.175355
chr1-33545714-33546912	0.17794	0.197208
chr1-33647069-33648267	0.0116304	0.075718
chr1-33721174-33722372	0.0214109	0.144628
chr1-33786501-33787699	0.747363	0.594595
chr1-33840996-33842194	0.896757	0.243243
chr1-33937246-33938444	0.061843	0.0519802
chr1-34631245-34632443	0.074928	0.286517
chr1-34642271-34643469	0.222824	0.624772
chr1-35219648-35220846	0.443193	0.405229
chr1-35224342-35225540	0.461129	0.380952
chr1-35245790-35246988	0.274403	0.371212
chr1-35257599-35258797	0.251561	0.528455
chr1-35325219-35326417	0.226535	0.117958
chr1-35394988-35396186	0.0264471	0.247505
chr1-35450756-35451954	0.0225826	0.0487106
chr1-35497371-35498569	0.130435	0.165468
chr1-35543992-35545190	0.245785	0.190202
chr1-35658551-35659749	0.197339	0.244019
chr1-35733568-35734766	0.0835777	0.0559701
chr1-36022409-36023607	0.00412448	0.0416048
chr1-36022816-36024014	0.00444614	0.0528846
chr1-36037971-36039169	0.216304	0.46558
chr1-36107247-36108445	0.0960488	0.21202
chr1-36184875-36186073	0.397188	0.308824
chr1-36235331-36236529	0.25077	0.284953
chr1-36272773-36273971	0.149798	0.374778
chr1-36347810-36349008	0.22985	0.414591
chr1-36395679-36396877	0.00648448	0.0752089
chr1-36548676-36549874	0.465833	0.607004
chr1-36553476-36554674	0.192594	0.22323
chr1-36590623-36591821	0.271856	0.501558
chr1-36614872-36616070	0.043189	0.129721
chr1-36620803-36622001	0.00518479	0.0709677
chr1-36689017-36690215	0.00574053	0.0317241
chr1-36770994-36772192	0.231773	0.311047
chr1-36789557-36790755	0.211608	0.42042
chr1-36851287-36852485	0.00547383	0.0509091
chr1-36863295-36864493	0.142551	0.15099
chr1-36915854-36917052	0.142056	0.232477
chr1-36929840-36931038	0.0999833	0.0967742
chr1-36948681-36949879	0.716833	0.588235
chr1-37499528-37500726	0.0546403	0.325444
chr1-37939153-37940351	0.033664	0.180583
chr1-37980166-37981364	0.123936	0.200653
chr1-38019705-38020903	0.269918	0.3
chr1-38021520-38022718	0.54084	0.454438
chr1-38061324-38062522	0.0439583	0.0389972
chr1-38100293-38101491	0.0824017	0.352113
chr1-38155994-38157192	0.19072	0.351415
chr1-38157090-38158288	0.0440234	0.158511
chr1-38230540-38231738	0.104636	0.373494
chr1-38258474-38259672	0.305423	0.495446
chr1-38273659-38274857	0.027206	0.147177
chr1-38325094-38326292	0.0104786	0.0560272
chr1-38412525-38413723	0.45443	0.449339
chr1-38456395-38457593	0.803205	0.610811
chr1-38470979-38472177	0.111662	0.384106
chr1-38477414-38478612	0.0875772	0.254597
chr1-38512252-38513450	0.0231026	0.224678
chr1-39325297-39326495	0.0238796	0.0976909
chr1-39339579-39340777	0.467488	0.397022
chr1-39392311-39393509	0.894779	0.448692
chr1-39455895-39457093	0.0677966	0.0431373
chr1-39490990-39492188	0.208675	0.226667
chr1-39548034-39549232	0.704246	0.729167
chr1-39956318-39957516	0.0558828	0.354086
chr1-40041875-40043073	0.12901	0.315094
chr1-40105419-40106617	0.349642	0.424893
chr1-40137512-40138710	0.12821	0.378327
chr1-40157163-40158361	0.0528718	0.259141
chr1-40203573-40204771	0.344525	0.286307
chr1-40236822-40238020	0.120569	0.448529
chr1-40254335-40255533	0.097692	0.404844
chr1-40348980-40350178	0.370353	0.449231
chr1-40367487-40368685	0.101038	0.215506
chr1-40419822-40421020	0.133241	0.328744
chr1-40504905-40506103	0.00362582	0.0316742
chr1-40563177-40564375	0.76674	0.345029
chr1-40626045-40627243	0.249779	0.278155
chr1-40712573-40713771	0.901745	0.233333
chr1-40722779-40723977	0.00624268	0.0402439
chr1-40782768-40783966	0.228678	0.496437
chr1-40838369-40839567	0.0951351	0.0913978
chr1-40914779-40915977	0.198211	0.180747
chr1-40941887-40943085	0.1397	0.129909
chr1-40973419-40974617	0.246704	0.12939
chr1-40996233-40997431	0.139286	0.138943
chr1-41131131-41132329	0.204989	0.464427
chr1-41156388-41157586	0.111413	0.147268
chr1-41248684-41249882	0.0460566	0.31746
chr1-41327820-41329018	0.123263	0.212185
chr1-41444007-41445205	0.399092	0.445172
chr1-41488711-41489909	0.819319	0.705882
chr1-41626906-41628104	0.927753	0.271186
chr1-41826594-41827792	0.0114708	0.141946
chr1-41950144-41951342	0.436934	0.375
chr1-42383971-42385169	0.247677	0.334337
chr1-42618092-42619290	0.787785	0.465986
chr1-42630191-42631389	0.745665	0.545455
chr1-42800438-42801636	0.00748888	0.0861486
chr1-42845477-42846675	0.0188659	0.159453
chr1-42921230-42922428	0.168749	0.285124
chr1-42921740-42922938	0.0415655	0.136026
chr1-42928025-42929223	0.0674141	0.055336
chr1-43123096-43124294	0.058709	0.0396975
chr1-43147098-43148296	0.0241372	0.0558036
chr1-43205727-43206925	0.588032	0.584906
chr1-43231940-43233138	0.00642436	0.063745
chr1-43232485-43233683	0.0124407	0.0622517
chr1-43281802-43283000	0.0278193	0.0677507
chr1-43282725-43283923	0.126379	0.0578035
chr1-43311307-43312505	0.0376053	0.0994398
chr1-43424303-43425501	0.0990334	0.137888
chr1-43638043-43639241	0.177751	0.0877193
chr1-43734696-43735894	0.808177	0.632653
chr1-43751052-43752250	0.65379	0.376712
chr1-43765664-43766862	0.738583	0.545082
chr1-43802478-43803676	0.798913	0.272727
chr1-43823684-43824882	0.0274914	0.112948
chr1-43833491-43834689	0.0226209	0.0538336
chr1-43854640-43855838	0.0163913	0.0579268
chr1-43855281-43856479	0.0275733	0.0835694
chr1-43919462-43920660	0.0269179	0.0889894
chr1-43995547-43996745	0.115768	0.117647
chr1-44114829-44116027	0.017756	0.0835544
chr1-44172218-44173416	0.012991	0.132824
chr1-44397992-44399190	0.358533	0.274368
chr1-44411611-44412809	0.00645786	0.0616883
chr1-44434676-44435874	0.31056	0.207154
chr1-44439320-44440518	0.128042	0.169524
chr1-44444659-44445857	0.00984048	0.112116
chr1-44456280-44457478	0.0581226	0.0711679
chr1-44482799-44483997	0.903801	0.380952
chr1-44583522-44584720	0.901115	0.40824
chr1-44678163-44679361	0.0878177	0.11039
chr1-44820682-44821880	0.150163	0.310811
chr1-44869866-44871064	0.340004	0.358974
chr1-45140029-45141227	0.133583	0.0995334
chr1-45204492-45205690	0.0346709	0.0777989
chr1-45240109-45241307	0.268977	0.283763
chr1-45253179-45254377	0.866795	0.274611
chr1-45264897-45266095	0.138153	0.26053
chr1-45272759-45273957	0.0298693	0.0798722
chr1-45308537-45309735	0.220416	0.383268
chr1-45452084-45453282	0.461277	0.30179
chr1-45476803-45478001	0.0097186	0.032967
chr1-45476819-45478017	0.0100405	0.0336
chr1-45672030-45673228	0.0353476	0.0921659
chr1-45791545-45792743	0.101498	0.171429
chr1-45804342-45805540	0.199166	0.189555
chr1-45805862-45807060	0.0306696	0.0332481
chr1-45956640-45957838	0.202833	0.227011
chr1-45964725-45965923	0.0498726	0.0532646
chr1-45987411-45988609	0.251703	0.20292
chr1-46015215-46016413	0.347934	0.267574
chr1-46048732-46049930	0.111358	0.180328
chr1-46089531-46090729	0.761874	0.244828
chr1-46151886-46153084	0.00467071	0.0593561
chr1-46152104-46153302	0.00538213	0.0528587
chr1-46216123-46217321	0.27236	0.17342
chr1-46268285-46269483	0.0822204	0.182243
chr1-46598116-46599314	0.0077184	0.0596125
chr1-46639759-46640957	0.532953	0.229885
chr1-46668006-46669204	0.128856	0.177632
chr1-46712404-46713602	0.0177268	0.0703593
chr1-46768303-46769501	0.00730648	0.0792602
chr1-46769082-46770280	0.0682449	0.202532
chr1-46804849-46806047	0.32928	0.282378
chr1-46858937-46860135	0.288833	0.470199
chr1-46971669-46972867	0.823974	0.514436
chr1-47016689-47017887	0.784438	0.629108
chr1-47069688-47070886	0.235616	0.187063
chr1-47080607-47081805	0.379872	0.447917
chr1-47133928-47135126	0.120361	0.272727
chr1-47184538-47185736	0.0143452	0.0561122
chr1-47263718-47264916	0.289186	0.543478
chr1-47488240-47489438	0.440646	0.499165
chr1-47602127-47603325	0.757909	0.6875
chr1-47655529-47656727	0.431442	0.442857
chr1-47695245-47696443	0.18443	0.532872
chr1-47779614-47780812	0.16284	0.258398
chr1-47798469-47799667	0.170334	0.284768
chr1-47880744-47881942	0.428846	0.75641
chr1-47900689-47901887	0.751256	0.595041
chr1-48462369-48463567	0.0351257	0.219684
chr1-48687359-48688557	0.848735	0.291391
chr1-48937647-48938845	0.138133	0.187123
chr1-49242392-49243590	0.0519102	0.216724
chr1-50489387-50490585	0.175791	0.439416
chr1-50570964-50572162	0.836117	0.481481
chr1-50888974-50890172	0.0568433	0.273474
chr1-51425417-51426615	0.0106155	0.102526
chr1-51425737-51426935	0.218125	0.222524
chr1-51700943-51702141	0.0261248	0.0528053
chr1-51810590-51811788	0.290205	0.499109
chr1-51984802-51986000	0.139489	0.163717
chr1-52081764-52082962	0.356894	0.167235
chr1-52344279-52345477	0.0883486	0.187339
chr1-52456238-52457436	0.269283	0.43722
chr1-52499290-52500488	0.147656	0.115226
chr1-52520797-52521995	0.0083724	0.0477855
chr1-52521645-52522843	0.00570108	0.0552147
chr1-52607046-52608244	0.0101551	0.10119
chr1-52831667-52832865	0.181144	0.363254
chr1-52869236-52870434	0.00696311	0.0470183
chr1-52869933-52871131	0.0101304	0.0566802
chr1-53018456-53019654	0.0149768	0.108466
chr1-53067044-53068242	0.118442	0.330254
chr1-53098016-53099214	0.201934	0.478032
chr1-53163840-53165038	0.150922	0.183288
chr1-53191181-53192379	0.245276	0.397917
chr1-53307408-53308606	0.127759	0.428571
chr1-53387241-53388439	0.245631	0.238351
chr1-53391901-53393099	0.454015	0.350181
chr1-53526885-53528083	0.172498	0.354067
chr1-53608051-53609249	0.855925	0.43787
chr1-53661101-53662299	0.493816	0.398649
chr1-53686091-53687289	0.155117	0.0679348
chr1-53704084-53705282	0.185517	0.258493
chr1-53793488-53794686	0.181464	0.340157
